time,latitude,longitude,depth,mag,Year
2023-02-06T16:35:18.135Z,38.2352,39.117,10,4.5,2023
2023-02-06T16:32:11.661Z,36.6625,36.4828,10,4.9,2023
2023-02-06T16:28:08.698Z,37.4633,36.981,5.178,4.7,2023
2023-02-06T16:27:19.278Z,38.049,36.4154,10,4.6,2023
2023-02-06T16:26:39.507Z,38.0385,36.5982,10,4.8,2023
2023-02-06T16:26:15.464Z,37.9826,36.8994,10,4.6,2023
2023-02-06T16:25:01.255Z,38.0666,36.4607,10,4.2,2023
2023-02-06T16:22:44.967Z,38.0189,36.5048,3.826,4.1,2023
2023-02-06T16:21:46.033Z,38.0912,36.433,10,4.1,2023
2023-02-06T16:10:43.265Z,36.1064,35.7822,10,4.5,2023
2023-02-06T16:06:42.958Z,37.9972,36.9911,10,4.3,2023
2023-02-06T15:59:27.990Z,38.0709,37.5505,10,4.2,2023
2023-02-06T15:52:44.320Z,37.868,37.8519,15.594,4.3,2023
2023-02-06T15:33:32.721Z,38.19,38.1756,7.43,5.4,2023
2023-02-06T15:14:34.398Z,37.8789,37.7345,10,5.4,2023
2023-02-06T14:57:46.881Z,38.0486,37.825,10,4.4,2023
2023-02-06T14:51:15.299Z,38.0706,38.404,10,4.4,2023
2023-02-06T14:41:57.177Z,38.1782,37.7439,10,4.5,2023
2023-02-06T14:33:07.461Z,38.0365,37.8572,10,4.5,2023
2023-02-06T14:29:57.853Z,37.9977,36.4927,10,4.7,2023
2023-02-06T14:27:43.394Z,36.8097,36.5387,10,4.5,2023
2023-02-06T14:17:18.854Z,37.8732,37.3571,21.255,4.4,2023
2023-02-06T14:10:09.968Z,37.7257,37.385,10,4.5,2023
2023-02-06T14:04:49.444Z,37.9944,36.4533,10,4.4,2023
2023-02-06T14:03:08.489Z,38.2079,37.8768,10,4.3,2023
2023-02-06T13:58:50.413Z,38.0588,36.4642,10,4.3,2023
2023-02-06T13:44:51.298Z,37.9405,37.4916,16.865,5,2023
2023-02-06T13:39:24.254Z,38.0166,37.7013,10,5.3,2023
2023-02-06T13:36:08.640Z,36.3454,36.4775,10,4.2,2023
2023-02-06T13:33:15.653Z,37.9231,37.5399,15.685,4.2,2023
2023-02-06T13:32:17.073Z,38.2669,38.3801,10,4.3,2023
2023-02-06T13:31:39.632Z,36.3959,36.3691,10,4.5,2023
2023-02-06T13:22:01.325Z,38.0367,37.3789,10.761,4.4,2023
2023-02-06T13:17:42.209Z,37.9951,36.3843,10,4.9,2023
2023-02-06T13:14:01.462Z,37.8011,37.9066,14.619,4.5,2023
2023-02-06T13:12:27.843Z,37.9077,36.5237,10,4.8,2023
2023-02-06T13:11:56.990Z,38.0104,36.6564,10,4.7,2023
2023-02-06T13:09:21.093Z,36.2541,36.2923,10,4.6,2023
2023-02-06T13:07:45.076Z,38.0384,37.371,16.904,5,2023
2023-02-06T13:06:39.750Z,37.991,37.2762,19.665,4.5,2023
2023-02-06T13:03:17.843Z,37.9978,37.4732,9.48,4.6,2023
2023-02-06T13:00:18.127Z,38.1156,36.6841,10,4.5,2023
2023-02-06T12:54:39.920Z,38.0519,36.864,18.833,4.6,2023
2023-02-06T12:48:01.449Z,38.0382,36.8659,13.923,4.3,2023
2023-02-06T12:36:34.388Z,38.0013,37.7893,17.505,4.6,2023
2023-02-06T12:34:43.513Z,38.0972,38.2339,14.471,4.9,2023
2023-02-06T12:32:48.345Z,37.9345,38.0571,16.472,4,2023
2023-02-06T12:31:40.752Z,37.8798,37.4824,16.174,4.2,2023
2023-02-06T12:21:18.492Z,38.0621,36.4541,8.221,4.4,2023
